Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_family/,62,0,200.0,416.047904838794,14.155700000628713,2558.290000000852,36.0,0.10336683985117116,0.0,200,300,440,590,1100,1500,2400,2600,2600,2600,2600
GET,/process_family/005b6027-29da-4f49-839c-99bcb1e26739/,4,0,340.0,531.2598750006146,129.03259999984584,1112.7740000010817,4809.0,0.006668828377494914,0.0,550,550,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/process_family/008530a0-04cd-44e7-b180-4502694fe6ec/,12,0,300.0,299.6964666661673,77.95269999769516,567.8071000002092,15058.0,0.02000648513248474,0.0,330,390,430,430,440,570,570,570,570,570,570
GET,/process_family/00856f7b-6951-4416-9c19-0cf036fce1a1/,4,0,200.0,342.47852500084264,187.85829999978887,519.7942000013427,10675.0,0.006668828377494914,0.0,460,460,520,520,520,520,520,520,520,520,520
GET,/process_family/00be596e-fc9c-41eb-84e0-6edeb570fc92/,9,0,390.0,847.8955555559272,38.34870000173396,2442.5750999998854,9032.0,0.015004863849363555,0.0,390,1300,1500,1700,2400,2400,2400,2400,2400,2400,2400
GET,/process_family/00c71b78-f41b-41e3-b5cb-0823ffc953bc/,7,0,320.0,481.7490285716173,3.548800001226482,1239.1931000001932,4454.0,0.011670449660616098,0.0,320,630,710,710,1200,1200,1200,1200,1200,1200,1200
GET,/process_family/00c99b43-3a32-41b0-950f-2919d04d0925/,9,0,160.0,318.23339999997796,7.366199999523815,1037.2078999989753,5088.0,0.015004863849363555,0.0,160,170,240,940,1000,1000,1000,1000,1000,1000,1000
GET,/process_family/01158311-5f99-4876-9f92-5e77f34ad6f0/,7,0,120.0,408.4929857139546,86.77189999980328,1876.3187999993534,13773.0,0.011670449660616098,0.0,120,260,340,340,1900,1900,1900,1900,1900,1900,1900
GET,/process_family/01c8f3e6-0444-456e-80a4-d264f43e6262/,7,0,250.0,441.8129428577231,128.30270000267774,1494.8760000006587,12746.0,0.011670449660616098,0.0,250,370,490,490,1500,1500,1500,1500,1500,1500,1500
GET,/process_family/01f9cc97-6789-476d-892f-3df85bedcaa0/,5,0,260.0,576.093580000088,199.5119999992312,1775.803000000451,6397.0,0.008336035471868642,0.0,260,410,410,1800,1800,1800,1800,1800,1800,1800,1800
GET,/process_family/0214d9ba-9049-4138-ac91-471d0829a6dd/,9,0,1500.0,1292.2820333335242,35.894399999961024,2397.6959999999963,7841.0,0.015004863849363555,0.0,1500,1600,1600,2200,2400,2400,2400,2400,2400,2400,2400
GET,/process_family/023959da-640b-4a4c-97d9-fe9f6e82c661/,3,0,500.0,608.687733332772,108.97889999978361,1217.7652999998827,11639.0,0.005001621283121185,0.0,500,500,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/process_family/03283192-c2e3-4636-871a-83d0e10a9e7d/,3,0,170.0,295.1165333330816,133.55109999974957,578.3948999996937,9808.0,0.005001621283121185,0.0,170,170,580,580,580,580,580,580,580,580,580
GET,/process_family/033f4e8f-cb57-4400-bf39-aaaeedf37cc8/,3,0,55,330.2739999999176,42.653999998947256,893.2374000014534,6184.0,0.005001621283121185,0.0,55,55,890,890,890,890,890,890,890,890,890
GET,/process_family/03462d30-83a0-4d67-aad0-032d058895f1/,10,0,97,276.47870000037074,51.09760000050301,971.495199999481,9149.0,0.016672070943737283,0.0,100,350,360,620,970,970,970,970,970,970,970
GET,/process_family/034c2a6e-b89d-4822-aabd-caf894511d52/,2,0,201.47870000073453,861.8962500004272,201.47870000073453,1522.31380000012,5098.0,0.003334414188747457,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/process_family/03774daf-d90c-483b-98b9-443fa32edddd/,11,0,250.0,566.6779636364729,33.21880000112287,2589.5207000012306,9134.0,0.01833927803811101,0.0,250,500,670,670,1500,2600,2600,2600,2600,2600,2600
GET,/process_family/037fd305-1c58-4e77-9090-772be8df260f/,5,0,1200.0,1295.756579999943,23.38419999978214,2674.7348999997484,5961.0,0.008336035471868642,0.0,1200,1600,1600,2700,2700,2700,2700,2700,2700,2700,2700
GET,/process_family/03b00d91-8aee-4f9a-a30b-7a84da1f8c4f/,8,0,110.0,167.90757500007203,52.0048999987921,418.0657000015344,11129.0,0.013337656754989827,0.0,130,240,260,260,420,420,420,420,420,420,420
GET,/process_family/03b9eac3-7522-49f1-97f0-0a933c334cde/,19,0,430.0,515.4687157893549,31.96100000059232,1370.2210999999807,7617.0,0.03167693479310084,0.0,430,690,740,1000,1400,1400,1400,1400,1400,1400,1400
GET,/process_family/040952f7-aa4a-4e4c-8244-493a25cd2c16/,10,0,1000.0,977.730170000541,261.1614000015834,1492.8634999996575,21117.0,0.016672070943737283,0.0,1100,1200,1300,1400,1500,1500,1500,1500,1500,1500,1500
GET,/process_family/04405d0a-5e57-4525-94d0-a7cfc430986a/,8,0,76,240.552125000022,27.00659999936761,1207.178799999383,7040.0,0.013337656754989827,0.0,100,200,220,220,1200,1200,1200,1200,1200,1200,1200
GET,/process_family/0444c8d3-3572-45b6-bd34-bcf06df29ae6/,7,0,400.0,567.1382571428175,53.79410000023199,1295.4642000004242,8895.0,0.011670449660616098,0.0,400,850,1200,1200,1300,1300,1300,1300,1300,1300,1300
GET,/process_family/047cbe1d-d286-4d2b-87e1-d0476e693c45/,3,0,280.0,324.71073333363165,153.4023000003799,537.3968000003515,25058.0,0.005001621283121185,0.0,280,280,540,540,540,540,540,540,540,540,540
GET,/process_family/04cc061f-21d9-4c5c-b9c8-38239ed565aa/,10,0,95,288.0785900004412,9.781099999599974,1880.425600000308,5064.0,0.016672070943737283,0.0,100,140,190,310,1900,1900,1900,1900,1900,1900,1900
GET,/process_family/04e0c94a-63ed-4228-9ecb-6efcc8aff4de/,8,0,69,89.51046249967476,10.864099998798338,244.27009999999427,5573.0,0.013337656754989827,0.0,85,95,120,120,240,240,240,240,240,240,240
GET,/process_family/057a29a4-0f48-4cc9-bb24-4e6e39a1beb0/,5,0,80,311.747899999682,60.094099999332684,1210.3558999988309,7184.0,0.008336035471868642,0.0,80,140,140,1200,1200,1200,1200,1200,1200,1200,1200
GET,/process_family/05e69fdd-37c6-4f0f-a38c-2acc4fac465c/,5,0,250.0,421.55123999982607,49.95559999952093,1018.1907000005594,4454.0,0.008336035471868642,0.0,250,600,600,1000,1000,1000,1000,1000,1000,1000,1000
GET,/process_family/05f5bfb4-30a4-45b0-b1c3-bdc92422d424/,14,0,240.0,273.32443571413023,27.750500001275213,634.7224999990431,7782.0,0.023340899321232195,0.0,260,360,370,410,590,630,630,630,630,630,630
GET,/process_family/06220c22-0aeb-4beb-bf6d-e29836bcb2b7/,1,0,1252.5571000005584,1252.5571000005584,1252.5571000005584,1252.5571000005584,5069.0,0.0016672070943737284,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/process_family/062c4dfc-d1b4-4e5d-97c3-12f4e91ea637/,12,0,430.0,652.3235916665726,83.5944999998901,1939.2348999990645,7115.0,0.02000648513248474,0.0,510,520,860,860,1700,1900,1900,1900,1900,1900,1900
GET,/process_family/0673abbe-e0cc-4e60-bfab-3b0da563433e/,6,0,4,86.16204999998445,3.1851999992795754,285.52850000050967,4454.0,0.01000324256624237,0.0,4,4,220,220,290,290,290,290,290,290,290
GET,/process_family/07d514ca-cd2d-4cea-a0d2-999adb8c1e76/,6,0,130.0,171.6711833332738,3.438300000198069,434.3642000003456,4454.0,0.01000324256624237,0.0,160,160,190,190,430,430,430,430,430,430,430
GET,/process_family/07f511a4-6ddb-4f38-9f67-3fcf82c481a1/,7,0,770.0,663.4999571425786,8.172699999704491,1217.1880999994755,5090.0,0.011670449660616098,0.0,770,920,1000,1000,1200,1200,1200,1200,1200,1200,1200
GET,/process_family/080df9b7-12b8-44b6-a3ea-2f42b463f2b7/,21,0,400.0,537.8633809519843,35.80599999986589,1675.073299998985,8004.0,0.035011348981848295,0.0,400,530,640,930,1200,1500,1700,1700,1700,1700,1700
GET,/process_family/0819bc77-7798-476b-85e9-425308cda83d/,12,0,650.0,675.3661500000211,101.74870000082592,1988.209299999653,6183.0,0.02000648513248474,0.0,670,790,910,910,1100,2000,2000,2000,2000,2000,2000
GET,/process_family/081e7df8-38d9-4fc0-9079-b7f60a13c184/,16,0,200.0,361.9827187502551,10.648600000422448,1264.1782999999123,5095.0,0.026675313509979655,0.0,220,290,500,500,1100,1300,1300,1300,1300,1300,1300
GET,/process_family/0874d3fb-c462-41dd-a053-35c86e0500db/,6,0,270.0,339.30613333298726,130.8811999988393,632.5183999997535,5008.0,0.01000324256624237,0.0,300,300,550,550,630,630,630,630,630,630,630
GET,/process_family/08a6760c-7860-4625-bac9-0904f9fad88c/,8,0,100.0,225.20826250024584,23.017200001049787,1137.8605000008974,6791.0,0.013337656754989827,0.0,140,150,180,180,1100,1100,1100,1100,1100,1100,1100
GET,/process_family/08b4d5c4-eb60-4dfc-920b-582aab8d7ea4/,15,0,280.0,462.1382866667166,24.34260000154609,1557.915299998058,6567.0,0.025008106415605923,0.0,280,370,1000,1100,1400,1600,1600,1600,1600,1600,1600
GET,/process_family/08dbb502-e778-4c5d-a1b1-8d64127be1c3/,11,0,260.0,475.9852636365064,65.40660000246135,1489.482599998155,6356.0,0.01833927803811101,0.0,260,790,880,880,1000,1500,1500,1500,1500,1500,1500
GET,/process_family/08ec797a-4f69-444b-a343-6994bf33eefe/,13,0,98,397.8042999998042,35.834099999192404,1230.6398999990051,6718.0,0.021673692226858467,0.0,98,630,660,670,1000,1200,1200,1200,1200,1200,1200
GET,/process_family/091d8fb1-27d6-4cc4-b76c-3e41d3f347c2/,7,0,120.0,474.5910714287415,35.02359999947657,1512.5399000007747,7745.0,0.011670449660616098,0.0,120,250,1300,1300,1500,1500,1500,1500,1500,1500,1500
GET,/process_family/096f4706-4fb6-47c2-90a0-7f8ebb3f83ea/,9,0,94,183.26304444397263,17.655899999226676,362.3932999998942,5521.0,0.015004863849363555,0.0,94,290,340,360,360,360,360,360,360,360,360
GET,/process_family/09b8e389-bf16-4f9e-8cc5-38c181e2b7c4/,3,0,1300.0,1166.1136999997932,817.4762999988161,1428.6852999994153,13018.0,0.005001621283121185,0.0,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/process_family/0a0d7969-435c-410c-81e8-7d8d0b74f49d/,6,0,150.0,142.9267666665813,12.095500000214088,283.5819000010815,5641.0,0.01000324256624237,0.0,150,150,250,250,280,280,280,280,280,280,280
GET,/process_family/0a95d43a-a734-4e76-a3c4-2002a3132e5a/,2,0,69.2975000001752,153.98840000034397,69.2975000001752,238.67930000051274,4454.0,0.003334414188747457,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/process_family/0aa19406-5486-4343-aea8-5949b36ab61d/,4,0,130.0,616.3951999997153,76.35329999902751,1492.152899998473,9813.0,0.006668828377494914,0.0,770,770,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/process_family/0ab9f795-62fa-4ad5-88de-b753c3c854c5/,9,0,84,181.66150000009415,27.48269999938202,629.5406999997795,7525.0,0.015004863849363555,0.0,84,99,260,410,630,630,630,630,630,630,630
GET,/process_family/0abb3e8e-df1f-48a2-abd7-deb27e18fdea/,18,0,260.0,373.526533333461,3.5630000002129236,1158.0192000001261,4454.0,0.03000972769872711,0.0,260,350,670,670,1000,1200,1200,1200,1200,1200,1200
GET,/process_family/0af465f9-cbc9-47be-9cc2-d7ed0fbbe4f2/,9,0,800.0,819.9709666666118,240.5946999988373,1427.2240999998758,22077.0,0.015004863849363555,0.0,800,950,990,1200,1400,1400,1400,1400,1400,1400,1400
GET,/process_family/0b0bf912-6c12-42a7-a8f8-610b71afad26/,25,0,180.0,273.12993600033224,13.9314000007289,1000.8717000000615,5763.0,0.04168017735934321,0.0,180,250,300,520,800,860,1000,1000,1000,1000,1000
GET,/process_family/0b1af439-00eb-4dcd-8d0a-0826ad7d22e4/,3,0,190.0,168.53646666762265,100.70079999968584,211.84760000141978,4454.0,0.005001621283121185,0.0,190,190,210,210,210,210,210,210,210,210,210
