Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_family/,43,0,110.0,128.7261720929585,21.853199999895878,386.4792000003945,36.0,0.07170207251216587,0.0,110,140,170,180,260,310,390,390,390,390,390
GET,/process_family/005b6027-29da-4f49-839c-99bcb1e26739/,8,0,13,114.56463749959767,5.877699999473407,471.16189999906055,4809.0,0.013339920467379696,0.0,32,80,300,300,470,470,470,470,470,470,470
GET,/process_family/008530a0-04cd-44e7-b180-4502694fe6ec/,4,0,100,107.63365000093472,71.20710000162944,152.22850000100152,15058.0,0.006669960233689848,0.0,110,110,150,150,150,150,150,150,150,150,150
GET,/process_family/00856f7b-6951-4416-9c19-0cf036fce1a1/,6,0,69,120.88373333335767,49.63810000117519,314.031600000817,10675.0,0.010004940350534772,0.0,90,90,150,150,310,310,310,310,310,310,310
GET,/process_family/00be596e-fc9c-41eb-84e0-6edeb570fc92/,9,0,63,128.92444444474273,36.89020000092569,386.62550000117335,9032.0,0.015007410525802158,0.0,63,100,170,260,390,390,390,390,390,390,390
GET,/process_family/00c71b78-f41b-41e3-b5cb-0823ffc953bc/,9,0,41,59.780022222184925,3.5458999991533346,184.92040000091947,4454.0,0.015007410525802158,0.0,41,61,95,140,180,180,180,180,180,180,180
GET,/process_family/00c99b43-3a32-41b0-950f-2919d04d0925/,10,0,10,51.60834999969666,7.319799999095267,154.85119999902963,5088.0,0.01667490058422462,0.0,29,41,110,130,150,150,150,150,150,150,150
GET,/process_family/01158311-5f99-4876-9f92-5e77f34ad6f0/,4,0,68.15259999893897,89.36959999982719,68.15259999893897,118.97739999949408,13773.0,0.006669960233689848,0.0,100,100,120,120,120,120,120,120,120,120,120
GET,/process_family/01f9cc97-6789-476d-892f-3df85bedcaa0/,5,0,48,47.50027999980375,29.230299998744158,66.805899999963,6397.0,0.00833745029211231,0.0,48,58,58,67,67,67,67,67,67,67,67
GET,/process_family/0214d9ba-9049-4138-ac91-471d0829a6dd/,2,0,34,40.17730000123265,33.5415000008652,46.813100001600105,7841.0,0.003334980116844924,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/process_family/023959da-640b-4a4c-97d9-fe9f6e82c661/,16,0,84,103.48464999992757,54.417800000010175,269.19959999941057,11639.0,0.02667984093475939,0.0,86,86,150,150,190,270,270,270,270,270,270
GET,/process_family/03283192-c2e3-4636-871a-83d0e10a9e7d/,7,0,130.0,144.4043714285986,55.816699999923,236.31329999989248,9808.0,0.011672430408957234,0.0,130,180,200,200,240,240,240,240,240,240,240
GET,/process_family/033f4e8f-cb57-4400-bf39-aaaeedf37cc8/,4,0,29,40.96247499956007,18.570899999758694,85.26509999865084,6184.0,0.006669960233689848,0.0,31,31,85,85,85,85,85,85,85,85,85
GET,/process_family/03462d30-83a0-4d67-aad0-032d058895f1/,10,0,51,111.91491000008682,38.34639999877254,582.6830999994854,9149.0,0.01667490058422462,0.0,53,56,61,140,580,580,580,580,580,580,580
GET,/process_family/034c2a6e-b89d-4822-aabd-caf894511d52/,14,0,11,69.23096428584229,8.300899999085232,454.2203000000882,5098.0,0.023344860817914467,0.0,18,60,64,110,140,450,450,450,450,450,450
GET,/process_family/03774daf-d90c-483b-98b9-443fa32edddd/,2,0,78,160.99579999990965,77.92960000006133,244.06199999975797,9134.0,0.003334980116844924,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/process_family/037fd305-1c58-4e77-9090-772be8df260f/,5,0,22,44.883679999475135,15.837499999179272,146.1416999991343,5961.0,0.00833745029211231,0.0,22,23,23,150,150,150,150,150,150,150,150
GET,/process_family/03b9eac3-7522-49f1-97f0-0a933c334cde/,4,0,42,143.87800000031348,39.2576000012923,444.9437000002945,7617.0,0.006669960233689848,0.0,50,50,440,440,440,440,440,440,440,440,440
GET,/process_family/040952f7-aa4a-4e4c-8244-493a25cd2c16/,2,0,140.0,145.8290999999008,138.12010000037844,153.53809999942314,21117.0,0.003334980116844924,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/process_family/04405d0a-5e57-4525-94d0-a7cfc430986a/,13,0,54,74.3034384616364,24.327199998879223,235.86810000051628,7040.0,0.021677370759492005,0.0,54,85,110,110,120,240,240,240,240,240,240
GET,/process_family/0444c8d3-3572-45b6-bd34-bcf06df29ae6/,6,0,49,83.6924833329249,35.4362999987643,227.18149999855086,8895.0,0.010004940350534772,0.0,52,52,90,90,230,230,230,230,230,230,230
GET,/process_family/047cbe1d-d286-4d2b-87e1-d0476e693c45/,1,0,201.92490000044927,201.92490000044927,201.92490000044927,201.92490000044927,25058.0,0.001667490058422462,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/process_family/04cc061f-21d9-4c5c-b9c8-38239ed565aa/,6,0,100.0,99.65991666619327,18.455199999152683,204.6797000002698,5064.0,0.010004940350534772,0.0,110,110,140,140,200,200,200,200,200,200,200
GET,/process_family/04e0c94a-63ed-4228-9ecb-6efcc8aff4de/,2,0,144.31320000039705,234.2390499998146,144.31320000039705,324.16489999923215,5573.0,0.003334980116844924,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/process_family/057a29a4-0f48-4cc9-bb24-4e6e39a1beb0/,14,0,37,66.13822142844583,24.394199999733246,240.91589999989083,7184.0,0.023344860817914467,0.0,41,50,71,140,150,240,240,240,240,240,240
GET,/process_family/05e69fdd-37c6-4f0f-a38c-2acc4fac465c/,10,0,5,52.57658000009542,3.3007000001816778,215.7671000004484,4454.0,0.01667490058422462,0.0,14,34,38,210,220,220,220,220,220,220,220
GET,/process_family/05f5bfb4-30a4-45b0-b1c3-bdc92422d424/,1,0,42.86359999969136,42.86359999969136,42.86359999969136,42.86359999969136,7782.0,0.001667490058422462,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/process_family/06220c22-0aeb-4beb-bf6d-e29836bcb2b7/,12,0,11,35.23345000015373,8.046499999181833,201.76569999966887,5069.0,0.020009880701069543,0.0,11,16,39,39,67,200,200,200,200,200,200
GET,/process_family/062c4dfc-d1b4-4e5d-97c3-12f4e91ea637/,8,0,36,55.31497499987381,23.138700000345125,103.71850000046834,7115.0,0.013339920467379696,0.0,49,75,96,96,100,100,100,100,100,100,100
GET,/process_family/0655e23b-0d75-49aa-8cbb-b17e279646ce/,7,0,180.0,152.52777142865983,3.464400000666501,406.464199999391,4454.0,0.011672430408957234,0.0,180,210,220,220,410,410,410,410,410,410,410
GET,/process_family/0673abbe-e0cc-4e60-bfab-3b0da563433e/,6,0,4,15.998266667035447,3.423300000577001,50.87880000064615,4454.0,0.010004940350534772,0.0,4,4,30,30,51,51,51,51,51,51,51
GET,/process_family/07d514ca-cd2d-4cea-a0d2-999adb8c1e76/,13,0,34,78.15723076950795,3.357200001119054,369.0084999998362,4454.0,0.021677370759492005,0.0,34,120,130,140,160,370,370,370,370,370,370
GET,/process_family/07f511a4-6ddb-4f38-9f67-3fcf82c481a1/,6,0,10,12.531133333141042,8.423199999015196,25.966400000470458,5090.0,0.010004940350534772,0.0,11,11,11,11,26,26,26,26,26,26,26
GET,/process_family/080df9b7-12b8-44b6-a3ea-2f42b463f2b7/,6,0,41,65.11044999933802,30.199499999071122,175.09910000080708,8004.0,0.010004940350534772,0.0,47,47,62,62,180,180,180,180,180,180,180
GET,/process_family/0819bc77-7798-476b-85e9-425308cda83d/,7,0,62,77.89614285736336,19.39970000057656,167.8463999996893,6183.0,0.011672430408957234,0.0,62,100,110,110,170,170,170,170,170,170,170
GET,/process_family/081e7df8-38d9-4fc0-9079-b7f60a13c184/,7,0,24,44.33379999993901,8.896100000129081,102.66620000038529,5095.0,0.011672430408957234,0.0,24,69,88,88,100,100,100,100,100,100,100
GET,/process_family/0874d3fb-c462-41dd-a053-35c86e0500db/,11,0,10,55.07169999989194,8.502999999109306,367.0304000006581,5008.0,0.01834239064264708,0.0,10,30,64,64,81,370,370,370,370,370,370
GET,/process_family/08a6760c-7860-4625-bac9-0904f9fad88c/,2,0,50,75.18160000017815,49.978099999862025,100.38510000049428,6791.0,0.003334980116844924,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/process_family/08b4d5c4-eb60-4dfc-920b-582aab8d7ea4/,6,0,41,48.600716666745335,22.726699999111588,92.98970000054396,6567.0,0.010004940350534772,0.0,48,48,64,64,93,93,93,93,93,93,93
GET,/process_family/08dbb502-e778-4c5d-a1b1-8d64127be1c3/,7,0,45,61.293842857204645,30.8459000007133,108.22209999969346,6356.0,0.011672430408957234,0.0,45,88,94,94,110,110,110,110,110,110,110
GET,/process_family/08ec797a-4f69-444b-a343-6994bf33eefe/,7,0,120.0,225.95164285719096,20.53200000045763,996.9393000010314,6718.0,0.011672430408957234,0.0,120,120,200,200,1000,1000,1000,1000,1000,1000,1000
GET,/process_family/091d8fb1-27d6-4cc4-b76c-3e41d3f347c2/,21,0,55,76.53295714278231,28.321800000412622,200.32400000127382,7745.0,0.0350172912268717,0.0,55,67,91,100,160,190,200,200,200,200,200
GET,/process_family/096f4706-4fb6-47c2-90a0-7f8ebb3f83ea/,7,0,42,53.1847000002017,12.31299999926705,116.8379000009736,5521.0,0.011672430408957234,0.0,42,85,88,88,120,120,120,120,120,120,120
