Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_family/,84,0,380.0,465.6678809523371,18.543899997894187,1502.5172000023304,36.0,0.14006551049884639,0.0,380,570,730,800,920,1200,1400,1500,1500,1500,1500
GET,/process_family/005b6027-29da-4f49-839c-99bcb1e26739/,9,0,300.0,331.25368888876335,5.532300001505064,765.682299999753,4809.0,0.015007018982019256,0.0,300,330,440,710,770,770,770,770,770,770,770
GET,/process_family/008530a0-04cd-44e7-b180-4502694fe6ec/,12,0,550.0,616.659916666625,102.75999999794294,1348.1508000004396,15058.0,0.02000935864269234,0.0,620,670,880,880,880,1300,1300,1300,1300,1300,1300
GET,/process_family/00856f7b-6951-4416-9c19-0cf036fce1a1/,4,0,220.0,613.9715000008437,172.68350000085775,1581.5962000015134,10675.0,0.00666978621423078,0.0,480,480,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/process_family/00be596e-fc9c-41eb-84e0-6edeb570fc92/,17,0,480.0,517.7284470585565,57.37620000218158,1339.1609999998764,9032.0,0.028346591410480817,0.0,480,750,850,880,930,1300,1300,1300,1300,1300,1300
GET,/process_family/00c71b78-f41b-41e3-b5cb-0823ffc953bc/,16,0,300.0,291.16359375052525,3.4051000002364162,834.491400000843,4454.0,0.02667914485692312,0.0,320,420,460,460,480,830,830,830,830,830,830
GET,/process_family/00c99b43-3a32-41b0-950f-2919d04d0925/,8,0,310.0,523.2026499998028,113.928599999781,1522.2293000006175,5088.0,0.01333957242846156,0.0,340,550,780,780,1500,1500,1500,1500,1500,1500,1500
GET,/process_family/01158311-5f99-4876-9f92-5e77f34ad6f0/,19,0,370.0,392.52158421081015,65.20149999778369,967.014999998355,13773.0,0.031681484517596205,0.0,370,480,560,570,720,970,970,970,970,970,970
GET,/process_family/01c8f3e6-0444-456e-80a4-d264f43e6262/,13,0,530.0,628.9905307690228,100.39849999884609,1628.8337000005413,12746.0,0.021676805196250037,0.0,530,650,700,1000,1600,1600,1600,1600,1600,1600,1600
GET,/process_family/01f9cc97-6789-476d-892f-3df85bedcaa0/,5,0,870.0,767.0765399991069,28.654599998844787,1284.7848999990674,6397.0,0.008337232767788475,0.0,870,1100,1100,1300,1300,1300,1300,1300,1300,1300,1300
GET,/process_family/0214d9ba-9049-4138-ac91-471d0829a6dd/,13,0,380.0,514.9787461545761,161.98830000212183,1386.5953999993508,7841.0,0.021676805196250037,0.0,380,510,760,820,980,1400,1400,1400,1400,1400,1400
GET,/process_family/023959da-640b-4a4c-97d9-fe9f6e82c661/,13,0,580.0,600.8212230772187,104.60070000044652,1239.6558000000368,11639.0,0.021676805196250037,0.0,580,730,910,940,1100,1200,1200,1200,1200,1200,1200
GET,/process_family/03283192-c2e3-4636-871a-83d0e10a9e7d/,10,0,56,229.85114000039175,39.94109999985085,758.7357999982487,9808.0,0.01667446553557695,0.0,62,250,360,620,760,760,760,760,760,760,760
GET,/process_family/033f4e8f-cb57-4400-bf39-aaaeedf37cc8/,14,0,360.0,396.5119500000063,107.32110000026296,922.017799999594,6184.0,0.023344251749807733,0.0,390,480,550,570,620,920,920,920,920,920,920
GET,/process_family/03462d30-83a0-4d67-aad0-032d058895f1/,19,0,450.0,460.93099999971423,35.84679999767104,1193.34919999892,9149.0,0.031681484517596205,0.0,450,640,720,870,1000,1200,1200,1200,1200,1200,1200
GET,/process_family/034c2a6e-b89d-4822-aabd-caf894511d52/,5,0,430.0,321.2924400002521,11.247400001593633,614.4515000014508,5098.0,0.008337232767788475,0.0,430,440,440,610,610,610,610,610,610,610,610
GET,/process_family/03774daf-d90c-483b-98b9-443fa32edddd/,13,0,430.0,462.5327076917948,37.32339999987744,1286.171199997625,9134.0,0.021676805196250037,0.0,430,560,560,850,880,1300,1300,1300,1300,1300,1300
GET,/process_family/037fd305-1c58-4e77-9090-772be8df260f/,13,0,310.0,368.52667692353583,15.623600000253646,1081.8500999994285,5961.0,0.021676805196250037,0.0,310,450,450,500,1000,1100,1100,1100,1100,1100,1100
GET,/process_family/03b00d91-8aee-4f9a-a30b-7a84da1f8c4f/,5,0,710.0,616.2822200007213,70.81749999997555,926.9561000000976,11129.0,0.008337232767788475,0.0,710,750,750,930,930,930,930,930,930,930,930
GET,/process_family/03b9eac3-7522-49f1-97f0-0a933c334cde/,13,0,520.0,443.93266923025993,80.72019999963231,800.8908999981941,7617.0,0.021676805196250037,0.0,520,590,590,720,730,800,800,800,800,800,800
GET,/process_family/040952f7-aa4a-4e4c-8244-493a25cd2c16/,16,0,240.0,318.6661562497193,119.37679999755346,729.0315999998711,21117.0,0.02667914485692312,0.0,300,310,490,490,720,730,730,730,730,730,730
GET,/process_family/04405d0a-5e57-4525-94d0-a7cfc430986a/,13,0,680.0,809.7441461535569,135.5349000004935,1679.3168999975023,7040.0,0.021676805196250037,0.0,680,1000,1100,1500,1500,1700,1700,1700,1700,1700,1700
GET,/process_family/0444c8d3-3572-45b6-bd34-bcf06df29ae6/,18,0,390.0,448.0591555550038,91.09800000078394,1021.5177999998559,8895.0,0.030014037964038513,0.0,390,510,550,600,980,1000,1000,1000,1000,1000,1000
GET,/process_family/047cbe1d-d286-4d2b-87e1-d0476e693c45/,18,0,550.0,608.7278000003506,154.97840000170982,1441.7204999990645,25058.0,0.030014037964038513,0.0,590,700,800,880,1100,1400,1400,1400,1400,1400,1400
GET,/process_family/04cc061f-21d9-4c5c-b9c8-38239ed565aa/,9,0,350.0,442.6781999993384,11.191300000064075,1190.5343999969773,5064.0,0.015007018982019256,0.0,350,490,720,940,1200,1200,1200,1200,1200,1200,1200
GET,/process_family/04e0c94a-63ed-4228-9ecb-6efcc8aff4de/,14,0,260.0,384.6265071432364,13.736900000367314,1064.0740000017104,5573.0,0.023344251749807733,0.0,270,560,590,650,990,1100,1100,1100,1100,1100,1100
GET,/process_family/057a29a4-0f48-4cc9-bb24-4e6e39a1beb0/,16,0,380.0,414.98530625040075,23.555499999929452,1064.6460999996634,7184.0,0.02667914485692312,0.0,430,560,630,630,830,1100,1100,1100,1100,1100,1100
GET,/process_family/05e69fdd-37c6-4f0f-a38c-2acc4fac465c/,19,0,760.0,731.251405262906,3.381200000148965,1405.7140999975672,4454.0,0.031681484517596205,0.0,760,850,1100,1100,1400,1400,1400,1400,1400,1400,1400
GET,/process_family/05f5bfb4-30a4-45b0-b1c3-bdc92422d424/,13,0,400.0,449.2990307690679,42.48630000074627,1337.3983999990742,7782.0,0.021676805196250037,0.0,400,460,530,950,990,1300,1300,1300,1300,1300,1300
GET,/process_family/06220c22-0aeb-4beb-bf6d-e29836bcb2b7/,25,0,370.0,424.9824839999201,8.252900002844399,1623.6223000014434,5069.0,0.04168616383894238,0.0,370,460,470,580,1300,1500,1600,1600,1600,1600,1600
GET,/process_family/062c4dfc-d1b4-4e5d-97c3-12f4e91ea637/,18,0,380.0,447.29650000004364,89.01780000087456,1101.054099999601,7115.0,0.030014037964038513,0.0,400,440,770,770,1000,1100,1100,1100,1100,1100,1100
GET,/process_family/0655e23b-0d75-49aa-8cbb-b17e279646ce/,6,0,4,341.8746666666266,3.381700000318233,912.9019000029075,4454.0,0.01000467932134617,0.0,480,480,650,650,910,910,910,910,910,910,910
GET,/process_family/0673abbe-e0cc-4e60-bfab-3b0da563433e/,2,0,150.0,381.8228500022087,145.34510000157752,618.3006000028399,4454.0,0.00333489310711539,0.0,620,620,620,620,620,620,620,620,620,620,620
GET,/process_family/07d514ca-cd2d-4cea-a0d2-999adb8c1e76/,7,0,460.0,536.3970999995737,231.55689999839524,837.3251000011805,4454.0,0.011672125874903867,0.0,460,690,700,700,840,840,840,840,840,840,840
GET,/process_family/07f511a4-6ddb-4f38-9f67-3fcf82c481a1/,12,0,470.0,393.41093333284033,8.310199998959433,914.3312999985937,5090.0,0.02000935864269234,0.0,480,490,710,710,810,910,910,910,910,910,910
GET,/process_family/080df9b7-12b8-44b6-a3ea-2f42b463f2b7/,4,0,630.0,532.4687249994895,163.65879999648314,671.2017999998352,8004.0,0.00666978621423078,0.0,660,660,670,670,670,670,670,670,670,670,670
GET,/process_family/0819bc77-7798-476b-85e9-425308cda83d/,10,0,390.0,409.31894999957876,70.92629999897326,754.642200001399,6183.0,0.01667446553557695,0.0,460,500,540,690,750,750,750,750,750,750,750
GET,/process_family/081e7df8-38d9-4fc0-9079-b7f60a13c184/,12,0,460.0,416.97742499976204,8.442499998636777,828.0539000006684,5095.0,0.02000935864269234,0.0,490,620,720,720,770,830,830,830,830,830,830
GET,/process_family/0874d3fb-c462-41dd-a053-35c86e0500db/,14,0,470.0,467.6072214289369,55.506500000774395,1000.1774999982445,5008.0,0.023344251749807733,0.0,510,620,660,690,870,1000,1000,1000,1000,1000,1000
GET,/process_family/08a6760c-7860-4625-bac9-0904f9fad88c/,10,0,820.0,829.7240099996998,55.74939999860362,1395.8452000006218,6791.0,0.01667446553557695,0.0,840,1000,1100,1300,1400,1400,1400,1400,1400,1400,1400
GET,/process_family/08b4d5c4-eb60-4dfc-920b-582aab8d7ea4/,15,0,510.0,474.28331999932806,21.60310000181198,970.569200002501,6567.0,0.02501169830336543,0.0,510,580,620,730,790,970,970,970,970,970,970
