Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_family/,9,0,98,87.72922222225235,14.075300001422875,145.36779999980354,36.0,0.015006071866690425,0.0,98,110,110,130,150,150,150,150,150,150,150
GET,/process_family/008530a0-04cd-44e7-b180-4502694fe6ec/,1,0,115.49199999899429,115.49199999899429,115.49199999899429,115.49199999899429,15058.0,0.0016673413185211584,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/process_family/00be596e-fc9c-41eb-84e0-6edeb570fc92/,2,0,41.416099998969,48.757300000033865,41.416099998969,56.09850000109873,9032.0,0.0033346826370423167,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/process_family/01158311-5f99-4876-9f92-5e77f34ad6f0/,6,0,69,78.76779999969585,65.14029999925697,95.45690000049945,13773.0,0.01000404791112695,0.0,85,85,91,91,95,95,95,95,95,95,95
GET,/process_family/01c8f3e6-0444-456e-80a4-d264f43e6262/,1,0,94.12799999881827,94.12799999881827,94.12799999881827,94.12799999881827,12746.0,0.0016673413185211584,0.0,94,94,94,94,94,94,94,94,94,94,94
GET,/process_family/01f9cc97-6789-476d-892f-3df85bedcaa0/,4,0,20,21.81849999942642,19.343199999639182,27.887399999599438,6397.0,0.0066693652740846335,0.0,21,21,28,28,28,28,28,28,28,28,28
GET,/process_family/023959da-640b-4a4c-97d9-fe9f6e82c661/,6,0,64,90.98708333355414,60.7971000008547,201.52690000031726,11639.0,0.01000404791112695,0.0,75,75,84,84,200,200,200,200,200,200,200
GET,/process_family/033f4e8f-cb57-4400-bf39-aaaeedf37cc8/,1,0,27.481400000397116,27.481400000397116,27.481400000397116,27.481400000397116,6184.0,0.0016673413185211584,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/process_family/03462d30-83a0-4d67-aad0-032d058895f1/,1,0,40.94760000043607,40.94760000043607,40.94760000043607,40.94760000043607,9149.0,0.0016673413185211584,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/process_family/034c2a6e-b89d-4822-aabd-caf894511d52/,1,0,243.09229999926174,243.09229999926174,243.09229999926174,243.09229999926174,5098.0,0.0016673413185211584,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/process_family/037fd305-1c58-4e77-9090-772be8df260f/,4,0,16,17.854924999937793,15.585799999826122,22.1335000005638,5961.0,0.0066693652740846335,0.0,17,17,22,22,22,22,22,22,22,22,22
GET,/process_family/04405d0a-5e57-4525-94d0-a7cfc430986a/,3,0,27,76.0035333326717,23.997399999643676,177.24939999970957,7040.0,0.005002023955563475,0.0,27,27,180,180,180,180,180,180,180,180,180
GET,/process_family/047cbe1d-d286-4d2b-87e1-d0476e693c45/,7,0,150.0,159.2514000006174,135.90819999990345,200.08320000124513,25058.0,0.011671389229648109,0.0,150,160,190,190,200,200,200,200,200,200,200
GET,/process_family/04e0c94a-63ed-4228-9ecb-6efcc8aff4de/,3,0,18,16.852666666939815,14.320199999929173,18.512000000555418,5573.0,0.005002023955563475,0.0,18,18,19,19,19,19,19,19,19,19,19
GET,/process_family/057a29a4-0f48-4cc9-bb24-4e6e39a1beb0/,2,0,34.25430000061169,34.86109999994369,34.25430000061169,35.46789999927569,7184.0,0.0033346826370423167,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/process_family/06220c22-0aeb-4beb-bf6d-e29836bcb2b7/,5,0,20,75.45547999980045,8.29149999844958,277.9626999999891,5069.0,0.008336706592605792,0.0,20,57,57,280,280,280,280,280,280,280,280
GET,/process_family/0673abbe-e0cc-4e60-bfab-3b0da563433e/,2,0,3.4831000011763535,3.830250000646629,3.4831000011763535,4.177400000116904,4454.0,0.0033346826370423167,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/process_family/07d514ca-cd2d-4cea-a0d2-999adb8c1e76/,1,0,3.5959999986516777,3.5959999986516777,3.5959999986516777,3.5959999986516777,4454.0,0.0016673413185211584,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/process_family/0819bc77-7798-476b-85e9-425308cda83d/,1,0,27.578699999139644,27.578699999139644,27.578699999139644,27.578699999139644,6183.0,0.0016673413185211584,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/process_family/081e7df8-38d9-4fc0-9079-b7f60a13c184/,3,0,8.3254000001034,9.059133333721547,8.3254000001034,10.504100000616745,5095.0,0.005002023955563475,0.0,8,8,11,11,11,11,11,11,11,11,11
GET,/process_family/0874d3fb-c462-41dd-a053-35c86e0500db/,1,0,10.557999999946333,10.557999999946333,10.557999999946333,10.557999999946333,5008.0,0.0016673413185211584,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/process_family/08b4d5c4-eb60-4dfc-920b-582aab8d7ea4/,2,0,26,29.55054999983986,25.558199999068165,33.54290000061155,6567.0,0.0033346826370423167,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/process_family/08dbb502-e778-4c5d-a1b1-8d64127be1c3/,2,0,22,26.035699999738426,21.799000000100932,30.27239999937592,6356.0,0.0033346826370423167,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/process_family/08ec797a-4f69-444b-a343-6994bf33eefe/,3,0,23,27.407133333326783,21.33710000089195,37.928600000668666,6718.0,0.005002023955563475,0.0,23,23,38,38,38,38,38,38,38,38,38
GET,/process_family/096f4706-4fb6-47c2-90a0-7f8ebb3f83ea/,2,0,12,14.027350000105798,11.677300000883406,16.37739999932819,5521.0,0.0033346826370423167,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/process_family/0aa19406-5486-4343-aea8-5949b36ab61d/,3,0,46,50.655866666905546,44.570100000782986,61.80099999983213,9813.0,0.005002023955563475,0.0,46,46,62,62,62,62,62,62,62,62,62
